rows=200
cols=200
(197, 121, 9964)
(150, 24, 1681)
(94, 69, 691)
(1, 175, 7210)
(65, 17, 9622)
(120, 125, 1330)
(79, 55, 1641)
(122, 74, 2918)
(75, 196, 9997)
(70, 116, 8583)
(195, 82, 8375)
(30, 130, 748)
(37, 162, 1884)
(82, 14, 2814)
(43, 48, 3095)
(79, 112, 9709)
(94, 86, 9794)
(159, 110, 8801)
(188, 40, 6621)
(195, 132, 9680)
(127, 87, 8297)
(69, 160, 470)
(6, 182, 2694)
(72, 22, 3686)
(25, 61, 6937)
(11, 121, 9486)
(140, 11, 3154)
(198, 94, 2890)
(66, 131, 5428)
(77, 20, 719)
(45, 116, 7474)
(171, 56, 1910)
(94, 137, 5630)
(11, 16, 1539)
(56, 115, 7224)
(127, 178, 6326)
(152, 171, 4093)
(72, 76, 6615)
(32, 168, 4770)
(195, 192, 3713)
(72, 18, 3592)
(119, 186, 6782)
(37, 42, 109)
(75, 187, 4840)
(86, 181, 4664)
(128, 193, 7375)
(115, 75, 2282)
(129, 96, 1499)
(171, 170, 9547)
(144, 18, 3300)
